TotalValueToCoral	TotalValueToAlgae	ValueToCoralPlayer	ValueToAlgaePlayer	sheet	card_count	base_card_filename	jpg	full_card_filename	@background	Fishing_Value	@fishnet	Title	ScientificName	@Image	@type_icon	@old_type_icon	Rarity	Deck	Set	Type	Taxon_Type	@Recruit1	@Recruit2	@Recruit3	EventTitle	EventText	EventTitle2	EventText2	EventTitle3	EventText3	Abilty1Notes	Ability1_asterisk	Ability1	@Ability1_effect_icon1	@Ability1_effect_icon2	@Ability1_effect_icon3	Ability2_asterisk	Ability2	Ability2_text	Ability3_asterisk	Ability3	Ability3_text	Growth_plus	Growth	Size	Resistance	Photo Credit	Icon Credit	Notes	DietNotes	ModelSpecies	Source	Size_cm	log2_size	@overlay
8	0	2	0	7	4	card47	.jpg	card47.jpg	card_border_11_Universal_Zooplankton_alt_trophy.ai	 		Symbiodinium 		symbiodinium.png	microbial_eukaryote.png		Uncommon	Zooplankton	Holobiont	Microbial Eukaryote	Phylum Dinoflagellata	pelagic.ai	acropora_icon_simpler.ai								(Grows without eating)	*	Phototroph					Coral Symbiont:	"when this grows, add a mututalist token to each nearby coral."				+	1	5		Art: Allison M. Lewis/ Wikipedia Commons (CC BY SA 4.0)	Game Icons.net			Microbial Eukaryote		0		
1	2	0.5	1	13	2	card48	.jpg	card48.jpg	card_border_11_Universal_Zooplankton_Shield_alt_trophy.ai	 		Christmas Tree Worm	Spirobranchus giganteus	Christmas_tree_worm_Spirobranchus_giganteus.jpg	annelid_worm.ai		Common	Zooplankton	Basic	Polychaete Worm	Family Serpulidae	pelagic.ai	acropora_icon_simpler.ai								(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Bioeroder:	"when this settles, damage a nearby coral (1)"				+	1	2	2	Photo: James Guttuso. Florida Keys National Marine Sanctuary.	Game Icons.net							
1	6	0.25	1.5	10	4	card49	.jpg	card49.jpg	card_border_11_Universal_Zooplankton.ai	 		Bearded Fireworm	Hermodice carunculata	bearded_fireworm.jpg	annelid_worm.ai		Uncommon	Zooplankton	Shells_Spines_and_Venom	Polychaete Worm	Family Amphinomidae	pelagic.ai	acropora_icon_simpler.ai									*	Eats	acropora_icon_simpler.ai	macroalgae-icon-white.ai			Slow moving: 	Can only eat nearby				+	1	4		Art:  James St. John 	Game Icons.net		coral and algae	Worm		15	4	
2	0	2	0	13	1	card50	.jpg	card50.jpg	card_border_11_Universal_Zooplankton_Shield.ai	$	fishnet.png	Hawksbill Turtle	Eretmochelys imbricata	hawksbill_turtle.jpg	turtle.png		Uncommon	Zooplankton	Sponges	Sea Turtle	Family Cheloniidae	pelagic.ai										*	Eats	marine_sponge.ai	macroalgae-icon-white.ai			Charismatic:	"when you play this, add an Awareness counter to the island"				+	1	7	2	"Photo:reef2576, NOAA's Coral Kingdom Collection (FKNMS)"	Game Icons.net							
1	1.25	1	1.25	7	1	card51	.jpg	card51.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Caribbean Reef Shark	Carcharhinus perezi	shark.jpg	shark-jaws.png		Common	Zooplankton	Basic	Sharks & Rays	Subclass Elasmobranchii	pelagic.ai										*	Eats	surgeonfish_icon-01.png	red_hind_icon.png	octopus.png		Viviparous:	takes a free 'eat' action when it is played. 				+	1	7		"Art:  Joe Pollock, Global Coral Microbiome Project"	Game Icons.net	Length is for blackfin reefshark	"Small Fish, Medium Fish, and Octopus"			160	7	
0.5	1.25	0.5	1.25	7	1	card52	.jpg	card52.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Southern Stingray	Dasyatis americana	southern_stingray.jpg	shark-jaws.png		Uncommon	Zooplankton	Shells_Spines_and_Venom	Sharks & Rays	Subclass Elasmobranchii	pelagic.ai										*	Eats	annelid_worm.ai	crab.png	surgeonfish_icon-01.png		Viviparous:	takes a free 'eat' action when it is played. 				+	1	7		"Art: reef1841, NOAA's Coral Kingdom Collection; NOAA CCMA Biogeography Team"	Game Icons.net		"Worms, Crustaceans, Small Fish"	Ray		100	7	
4	5	1	1.25	3	4	card53	.jpg	card53.jpg	card_border_11_Universal_Zooplankton.ai	$	fishnet.png	Bull Shark	Carcharhinus leucas	bullshark.jpg	shark-jaws.png		Common	Zooplankton	Basic	Sharks & Rays	Subclass Elasmobranchii	pelagic.ai										*	Eats	red_hind_icon.png	turtle.png	dolphin.png		Viviparous:	takes a free 'eat' action when you play it. 				+	1	8		Art: Terry Goss 2007 via Wikipedia Commons ( CC SA 3.0 Uported)	Game Icons.net	Length is max for mature female bullshark	"Bony Fish, other sharks, also dolphins, turtles, "			235	8	
3	3.5	1.5	1.75	14	2	card54	.jpg	card54.jpg	card_border_11_Universal_Zooplankton_Shield_alt_trophy.ai	 		Red Burrowing Sponge	Cliona celata	cliona_celeta.jpg	marine_sponge.ai		Uncommon	Zooplankton	Sponges	Sponge	Phylum Porifera	island.png									(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Bioeroder:	"when this settles or grows, damage each nearby coral (1)"				+	1	2	1	"Photo: Matthieu Sontag, Licence: CC-BY-SA."	Game Icons.net	Chemically Undefended (Loh et al PNAS 2014)						
1.5	0.5	1.5	0.5	11	1	card55	.jpg	card55.jpg	card_border_11_Universal_Zooplankton_Shield.ai	 		Purple Sea Urchin	Arbacia punctulata	arbacia_urchin.jpg	urchin_icon.ai		Uncommon	Zooplankton	Shells_Spines_and_Venom	Urchin	Class Echinoidea	pelagic.ai										*	Eats	macroalgae-icon-white.ai	acropora_icon_simpler.ai	marine_sponge.ai		Slow moving: 	Can only eat nearby				+	1	3	1	"Art: expl0651, NOAA's Photo Collection; NURC/UNCW and NOAA/FGBNMS"	Game Icons.net		"Algae, Corals, Sponges"	Urchin		10	3	
4	0	2	0	12	2	card56	.jpg	card56.jpg	card_border_11_Universal_Zooplankton.ai	 		Black Sea Urchin	Diadema antillarum	diadema2.jpg	urchin_icon.ai		Uncommon	Zooplankton	Shells_Spines_and_Venom	Urchin	Class Echinoidea	pelagic.ai	acropora_icon_simpler.ai									*	Eats	macroalgae-icon-white.ai				Slow moving: 	Can only eat nearby				+	1	4		Art: James St. John	Game Icons.net		"Green, Red, or Brown Macroalgae"	Urchin		20	4	
				13	1	card57	.jpg	card57.jpg				 																																			Illustration: Jesse Zaneveld	Game Icons.net							card_overlay_the_island.png
						card58	.jpg	card58.jpg				 																																											event_card_back_r2.png
						card59	.jpg	card59.jpg				 																																			Illustration: Jesse Zaneveld	Game Icons.net							zooplankton_card_back_cabinsketch-01.png
						card60	.jpg	card60.jpg				 																																			Illustration: Jesse Zaneveld	Game Icons.net							coral_card_back_r3.png
						card61	.jpg	card61.jpg				 																																			Illustration: Jesse Zaneveld	Game Icons.net							algae_card_back_r3.psd
						card62	.jpg	card61.jpg				Sandy Bottom																																			Photo: Pixabay (CC0)								sand_bottom.jpg
						card63	.jpg	card61.jpg				Rocky Bottom																																			Photo: NASA simlabs								rocky_bottom.jpg
																																																							
			Coral	Algae																																																			
		Zooplankton Deck	58.85	51.15																																																			
		Event Deck	55	54.5																																																			
		Coral Deck																																																					
		Algae Deck																																																					
																																																							
																																																							
		Types 	Present	Eat Icons	Turn to Draw answer																																																		
		Urchin	3	5	12																																																		
		Herbivorous fish	13	13	5																																																		
		Mesopredator	17	5	12																																																		
		Crab	9	13	5																																																		
		Mollusk	4	5	12																																																		
		Annelid	6																																																				
